paper_id,model_id,doi,apa_citation,is_multimodal,modality_visual,modality_auditory,modality_somatosensory,task_type_active,task_type_passive,technique_name,visual_pictures,visual_videos,visual_words,visual_other,auditory_music,auditory_other,technique_clasif_multiple_techniques,technique_clasif_driving,technique_clasif_imagination_techniques_or_memory_recall,technique_clasif_social_interactions,technique_clasif_virtual_reality,technique_clasif_meditation,technique_clasif_reading,technique_clasif_ux,technique_clasif_tactile_enhanced_multimedia_clips,technique_clasif_videogame,technique_clasif_puzzle,technique_clasif_other,technique_description,elicitation_duration,elicitation_duration_range,elicitation_duration_mean,elicitation_duration_median,revisor,comentarios,Unnamed: 36,Unnamed: 37
113,1,10.1007/s11277-023-10685-w,"Selvi, R., & Vijayakumaran, C. (2023). An efficient multimodal emotion identification using FOX optimized double deep Q-learning. Wireless Personal Communications, 132(4), 2387-2406.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 36 affective movie clips,-,51–127s,80,-,Tomi,,,
114,1,10.1088/1742-6596/1878/1/012020,"Bulagang, A. F., Mountstephens, J., & Teo, J. (2021, May). Support Vector Machine Tuning for Improving Four-Quadrant Emotion Prediction in Virtual Reality (VR) using Wearable Electrodermography (EDG). In Journal of Physics: Conference Series (Vol. 1878, No. 1, p. 012020). IOP Publishing.",x,x,x,-,-,x,Virtual Reality,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,,Virtual Reality (VR),A time span of 6 minutes and 5 seconds of the merged videos were presented to the participants.,-,320 s,-,Tomi,,,
115,1,10.1016/j.bspc.2024.107039,"Kumar, A., & Kumar, A. (2025). Human emotion recognition using Machine learning techniques based on the physiological signal. Biomedical Signal Processing and Control, 100, 107039.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
115,2,10.1016/j.bspc.2024.107039,"Kumar, A., & Kumar, A. (2025). Human emotion recognition using Machine learning techniques based on the physiological signal. Biomedical Signal Processing and Control, 100, 107039.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 36 affective movie clips,-,51–127s,80,-,Tomi,,,
116,1,10.1109/TAFFC.2019.2916015,"Jung, T. P., & Sejnowski, T. J. (2019). Utilizing deep learning towards multi-modal bio-sensing and vision-based affective computing. IEEE Transactions on Affective Computing, 13(1), 96-107.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,Tomi,,,
116,2,10.1109/TAFFC.2019.2916015,"Jung, T. P., & Sejnowski, T. J. (2019). Utilizing deep learning towards multi-modal bio-sensing and vision-based affective computing. IEEE Transactions on Affective Computing, 13(1), 96-107.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
116,3,10.1109/TAFFC.2019.2916015,"Jung, T. P., & Sejnowski, T. J. (2019). Utilizing deep learning towards multi-modal bio-sensing and vision-based affective computing. IEEE Transactions on Affective Computing, 13(1), 96-107.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 20 short emotional film excerpts selected to elicit specific affective states​​,-,34.9-117 s​,81.4 s​​,-,Tomi,,,
117,1,10.1016/j.teler.2024.100131,"Saffaryazdi, N., Kirkcaldy, N., Lee, G., Loveys, K., Broadbent, E., & Billinghurst, M. (2024). Exploring the impact of computer-mediated emotional interactions on human facial and physiological responses. Telematics and Informatics Reports, 14, 100131.",x,x,-,-,x,,IAPS-guided autobiographical conversation,x,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,,"Viewing an IAPS picture (6 s) followed by 2–3 min guided discussion of personal memories/emotions linked to that picture, in either face-to-face or Zoom condition",The image remained on the screen during the conversation for two to three minutes.,02 m 09 s – 03 m 09 s,-,-,Tomi,,,
118,1,10.1109/IECBES48179.2021.9398844,"Nisa'Minhad, K., Ooi, K. J., Bhuiyan, M. A. S., Reaz, M. B. I., & Ali, S. H. M. (2021, March). Assessments of autonomic nervous system biomarker for emotion recognition using electrodermal activity signal. In 2020 IEEE-EMBS Conference on Biomedical Engineering and Sciences (IECBES) (pp. 351-355). IEEE.",x,x,x,-,-,x,Video Stimuli; Pictures,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,Tomi,,,
119,1,10.1109/ACCESS.2024.3361832,"Veeranki, Y. R., Ganapathy, N., Swaminathan, R., & Posada-Quintero, H. F. (2024). Comparison of electrodermal activity signal decomposition techniques for emotion recognition. IEEE Access, 12, 19952-19966.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,Tomi,,,
120,1,10.1109/ACIIW52867.2021.9666360,"Bhatti, A., Behinaein, B., Rodenburg, D., Hungler, P., & Etemad, A. (2021, September). Attentive cross-modal connections for deep multimodal wearable-based emotion recognition. In 2021 9th international conference on affective computing and intelligent interaction workshops and demos (ACIIW) (pp. 01-05). IEEE.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
121,1,10.3389/fpsyg.2022.895929,"Chong, D., Yu, A., Su, H., & Zhou, Y. (2022). The impact of emotional states on construction workers’ recognition ability of safety hazards based on social cognitive neuroscience. Frontiers in psychology, 13, 895929.",-,x,-,-,-,x,IAPS,x,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"Thirty images each of positive, neutral and negative … selected from the IAPS",01 m 30 s,1,-,-,Tomi,,,
122,1,10.1145/3534615,"Gupta, K., Chan, S. W., Pai, Y. S., Strachan, N., Su, J., Sumich, A., ... & Billinghurst, M. (2022). Total vrecall: Using biosignals to recognize emotional autobiographical memory in virtual reality. Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies, 6(2), 1-21.",-,x,-,-,x,,Modified Autobiographical Memory Test (AMT),-,-,x,-,-,-,-,-,-,-,x,-,-,-,-,-,-,,"Single emotional cue word (5 positive, 5 negative, 5 neutral) shown in VR; participant silently recalls a self-relevant memory for 30 s, then narrates it.",07 m 30 s,-,-,-,Tomi,,,
123,1,10.3233/shti240569,"Banik, S., Kumar, H., Ganapathy, N., & Swaminathan, R. (2024). Assessment of Valance Emotional State Using EEG-EDA Coupling and Explainable Classifiers. In Digital Health and Informatics Innovations for Sustainable Health Care Systems (pp. 953-957). IOS Press.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,60s,-,-,-,Tomi,,,
124,1,10.3389/fnins.2023.1180407,"Wang, K., Zhao, Z., Shen, X., & Yamauchi, T. (2023). Video elicited physiological signal dataset considering indoor temperature factors. Frontiers in Neuroscience, 17, 1180407.",x,x,x,x,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"Participants watched 25 one-minute video clips (5 per emotion) in hot, comfortable, and cold rooms while GSR was recorded. (drawn from Table 1 & § 3.4.3)",06 m 00 s,-,-,-,Tomi,,,
125,1,10.1109/JBHI.2022.3225330,"Zitouni, M. S., Park, C. Y., Lee, U., Hadjileontiadis, L. J., & Khandoker, A. (2022). LSTM-modeling of emotion recognition using peripheral physiological signals in naturalistic conversations. IEEE Journal of Biomedical and Health Informatics, 27(2), 912-923.",x,x,x,-,x,-,Semi-structured paired debate,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,"10-min English debate on admitting Yemeni refugees, with free turn-taking",10 m 00 s,-,-,-,Tomi,,,
126,1,10.1109/ACII52823.2021.9597451,"Khan, A., Hopkins, J., & Gunes, H. (2021, September). Multi-dimensional Affect in Poetry (POCA) Dataset: Acquisition, Annotation and Baseline Results. In 2021 9th International Conference on Affective Computing and Intelligent Interaction (ACII) (pp. 1-8). IEEE.",-,-,x,-,-,x,Poem recitations,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,Tomi,,,
127,1,10.1515/cdbme-2023-1139,"Anthiyur Aravindan, A., Kalyan Chappidi, S., Thumma, A., & Palanisamy, R. (2023, September). Prediction of arousal and valence state from electrodermal activity using wavelet based resnet50 model. In Current Directions in Biomedical Engineering (Vol. 9, No. 1, pp. 555-558). De Gruyter.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Participants watched validated emotional video-stimuli (e.g., amusing, boring, relaxing, scary) while annotating their emotional experience using a joystick interface.",-,119 s - 197 s,-,-,Tomi,,,
128,1,10.1080/09544828.2024.2362589,"Zhang, L., Hu, F., Liu, X., Wang, Y., Zhang, H., Liu, Z., & Yu, C. (2024). Intelligent emotion recognition in product design using multimodal physiological signals and machine learning. Journal of Engineering Design, 1-21.",-,x,-,-,-,x,Product Images,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Participants viewed product images,5 m 15 s,-,-,-,Tomi,,,
129,1,10.1007/s10916-020-01676-6,"Ganapathy, N., Veeranki, Y. R., Kumar, H., & Swaminathan, R. (2021). Emotion recognition using electrodermal activity signals and multiscale deep convolutional neural network. Journal of Medical Systems, 45(4), 49.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,60s,-,-,-,Tomi,,,
130,1,10.1109/TIM.2024.3420349,"Kumar, P. S., Govarthan, P. K., Gadda, A. A. S., Ganapathy, N., & Ronickom, J. F. A. (2024). Deep learning-based automated emotion recognition using multi modal physiological signals and time-frequency methods. IEEE Transactions on Instrumentation and Measurement.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Participants watched validated emotional video-stimuli (e.g., amusing, boring, relaxing, scary) while annotating their emotional experience using a joystick interface.",-,119 s - 197 s,-,-,Tomi,,,
130,2,10.1109/TIM.2024.3420349,"Kumar, P. S., Govarthan, P. K., Gadda, A. A. S., Ganapathy, N., & Ronickom, J. F. A. (2024). Deep learning-based automated emotion recognition using multi modal physiological signals and time-frequency methods. IEEE Transactions on Instrumentation and Measurement.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
131,1,10.14236/ewic/HCI2022.19,"Pidgeon, M., Kanwal, N., Murray, N., & Asghar, M. (2022, July). End-to-End Emotion Recognition using Peripheral Physiological Signals. In 35th International BCS Human-Computer Interaction Conference (pp. 1-10). BCS Learning & Development.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,Tomi,,,
132,1,10.1109/AIHCIR61661.2023.00066,"He, Y., Chen, L., Zhao, Q., Hong, Z., & Chen, Y. (2023, December). MEDA-CBLSTM: Data Acquisition, Processing and Emotion Recognition Based on Multi-Layer EDA. In 2023 2nd International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR) (pp. 380-384). IEEE.",-,x,-,-,x,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"We use four-minute videos as an emotional trigger script…” and “For the calm state, 20 routine and personal factual articles are prepared for the test subjects to transcribe or recite",-,-,-,-,Tomi,,,
133,1,10.3390/electronics12132795,"Dessai, A., & Virani, H. (2023). Emotion classification based on CWT of ECG and GSR signals using various CNN models. Electronics, 12(13), 2795.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
134,1,10.1109/JBHI.2024.3405491,"Mercado-Diaz, L. R., Veeranki, Y. R., Marmolejo-Ramos, F., & Posada-Quintero, H. F. (2024). EDA-Graph: Graph Signal Processing of Electrodermal Activity for Emotional States Detection. IEEE Journal of Biomedical and Health Informatics.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Participants watched validated emotional video-stimuli (e.g., amusing, boring, relaxing, scary) while annotating their emotional experience using a joystick interface.",-,119 s - 197 s,-,-,Tomi,,,
135,1,10.1016/j.bspc.2024.106353,"Gahlan, N., & Sethia, D. (2024). AFLEMP: Attention-based federated learning for emotion recognition using multi-modal physiological data. Biomedical Signal Processing and Control, 94, 106353.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
136,1,10.1109/ICCCMLA58983.2023.10346868,"Kumar P, S., & Ronickom, J. F. A. (2023, October). Investigating the Effects of Two-Class Categorical Emotion Classification Through Electrodermal Activity and Machine Learning. In 2023 IEEE 5th International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA) (pp. 594-599). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Participants watched validated emotional video-stimuli (e.g., amusing, boring, relaxing, scary) while annotating their emotional experience using a joystick interface.",-,119 s - 197 s,-,-,Tomi,,,
137,1,10.1109/MeMeA54994.2022.9856558,"Zhu, L., Spachos, P., & Gregori, S. (2022, June). Multimodal physiological signals and machine learning for stress detection by wearable devices. In 2022 IEEE International Symposium on Medical Measurements and Applications (MeMeA) (pp. 1-6). IEEE.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
137,2,10.1109/MeMeA54994.2022.9856558,"Zhu, L., Spachos, P., & Gregori, S. (2022, June). Multimodal physiological signals and machine learning for stress detection by wearable devices. In 2022 IEEE International Symposium on Medical Measurements and Applications (MeMeA) (pp. 1-6). IEEE.",x,x,x,-,x,x,Video Stimuli; IAPS; Interactive tests,x,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,Math/Logic/Stroop,Five-task protocol combining interactive cognitive tests and emotion-eliciting audio-visual stimuli,-,-,-,-,Tomi,,,
138,1,10.3389/fnins.2022.965871,"Chen, P., Zou, B., Belkacem, A. N., Lyu, X., Zhao, X., Yi, W., ... & Chen, C. (2022). An improved multi-input deep convolutional neural network for automatic emotion recognition. Frontiers in Neuroscience, 16, 965871.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
138,2,10.3389/fnins.2022.965871,"Chen, P., Zou, B., Belkacem, A. N., Lyu, X., Zhao, X., Yi, W., ... & Chen, C. (2022). An improved multi-input deep convolutional neural network for automatic emotion recognition. Frontiers in Neuroscience, 16, 965871.",x,x,x,-,x,x,Video Stimuli; IAPS; Interactive tests,x,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,Math/Logic/Stroop,Five-task protocol combining interactive cognitive tests and emotion-eliciting audio-visual stimuli,-,-,-,-,Tomi,,,
138,3,10.3389/fnins.2022.965871,"Chen, P., Zou, B., Belkacem, A. N., Lyu, X., Zhao, X., Yi, W., ... & Chen, C. (2022). An improved multi-input deep convolutional neural network for automatic emotion recognition. Frontiers in Neuroscience, 16, 965871.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 36 affective movie clips,-,51–127s,80,-,Tomi,,,
138,4,10.3389/fnins.2022.965871,"Chen, P., Zou, B., Belkacem, A. N., Lyu, X., Zhao, X., Yi, W., ... & Chen, C. (2022). An improved multi-input deep convolutional neural network for automatic emotion recognition. Frontiers in Neuroscience, 16, 965871.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 20 short emotional film excerpts selected to elicit specific affective states​​,-,34.9-117 s​,81.4 s​​,-,Tomi,,,
139,1,10.1109/AINIT61980.2024.10581751,"Mu, J., Qiao, Y., & Liu, G. (2024, March). Research on Emotion Recognition Strategy Based on Electrocardiogram and Electrodermal activity Signals Induced by Music. In 2024 5th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT) (pp. 1574-1578). IEEE.",-,-,x,-,-,x,Music-induced emotion,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,"Participants listened to music stimuli selected from popular music libraries, categorized into fear, happiness, calmness, and sadness. After each piece, they rated valence and arousal on a 9-point scale and selected their felt emotion.","From a pool of 15 pieces of music for each emotion type, the top 10 most fitting pieces, each lasting approximately 18-20 seconds, were chosen as the formal experimental materials.",-,-,-,Tomi,,,
140,1,10.1109/ACII52823.2021.9597434,"Di Lascio, E., Gashi, S., Debus, M. E., & Santini, S. (2021, September). Automatic recognition of flow during work activities using context and physiological signals. In 2021 9th International Conference on Affective Computing and Intelligent Interaction (ACII) (pp. 1-8). IEEE.",-,-,,-,,x,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Natural in-the-wild work tasks,Monitored during their daily work activities. Daily work activities; workers logged each real task ≥ 5 min,44 m 00 s,05 min – 187 min,-,-,Tomi,,,
141,1,10.1007/s12652-021-03462-9,"Ross, K., Hungler, P., & Etemad, A. (2023). Unsupervised multi-modal representation learning for affective computing with multi-corpus wearable data. Journal of Ambient Intelligence and Humanized Computing, 14(4), 3199-3224.",-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,Tomi,,,
142,1,10.3389/fnins.2022.911767,"Perry Fordson, H., Xing, X., Guo, K., & Xu, X. (2022). Emotion recognition with knowledge graph based on electrodermal activity. Frontiers in Neuroscience, 16, 911767.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,60s,-,-,-,Tomi,,,
142,2,10.3389/fnins.2022.911767,"Perry Fordson, H., Xing, X., Guo, K., & Xu, X. (2022). Emotion recognition with knowledge graph based on electrodermal activity. Frontiers in Neuroscience, 16, 911767.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Observers watched labelled movie clips online,-,0.3 – 5.4 s,-,-,Tomi,,,
143,1,10.1109/JBHI.2022.3224775,"Ghiasi, S., Patane, A., Laurenti, L., Gentili, C., Scilingo, E. P., Greco, A., & Kwiatkowska, M. (2022). Physiologically-informed gaussian processes for interpretable modelling of psycho-physiological states. IEEE Journal of Biomedical and Health Informatics, 27(8), 3721-3730.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,60s,-,-,-,Tomi,,,
143,2,10.1109/JBHI.2022.3224775,"Ghiasi, S., Patane, A., Laurenti, L., Gentili, C., Scilingo, E. P., Greco, A., & Kwiatkowska, M. (2022). Physiologically-informed gaussian processes for interpretable modelling of psycho-physiological states. IEEE Journal of Biomedical and Health Informatics, 27(8), 3721-3730.",x,x,x,x,-,x,Heat-pain stimulation; Video Stimuli; IAPS,x,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,heat pain,PATHWAY thermode on right arm delivered four individually calibrated heat levels; additional IAPS images and validated film clips presented for emotion induction,-,00 m 04 s (max heat plateau) ,-,-,Tomi,,,
143,3,10.1109/JBHI.2022.3224775,"Ghiasi, S., Patane, A., Laurenti, L., Gentili, C., Scilingo, E. P., Greco, A., & Kwiatkowska, M. (2022). Physiologically-informed gaussian processes for interpretable modelling of psycho-physiological states. IEEE Journal of Biomedical and Health Informatics, 27(8), 3721-3730.",-,x,-,-,x,-,Stroop test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stroop test,Color-word interference task with 2-s button press responses; buzzer sounds on errors,03 m 00 s (stress phase),-,-,-,Tomi,,,
144,1,10.1109/GLOBECOM48099.2022.10000909,"Zhu, L., & Spachos, P. (2022, December). Annotation efficiency in multimodal emotion recognition with deep learning. In GLOBECOM 2022-2022 IEEE Global Communications Conference (pp. 560-565). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
145,1,10.1109/ICC45041.2023.10278603,"Zhu, L., Spachos, P., & Gregori, S. (2023, May). Electrodermal activity for emotion recognition using cnn and bi-gru model. In ICC 2023-IEEE International Conference on Communications (pp. 5533-5538). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
146,1,10.1007/s11042-022-12711-8,"Katada, S., & Okada, S. (2022). Biosignal-based user-independent recognition of emotion and personality with importance weighting. Multimedia Tools and Applications, 81(21), 30219-30241.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
147,1,10.1109/ICACCS57279.2023.10112973,"Gupta, R., Bhongade, A., & Gandhi, T. K. (2023, March). Multimodal wearable sensors-based stress and affective states prediction model. In 2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS) (Vol. 1, pp. 30-35). IEEE.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
148,1,10.1016/j.eswa.2024.124305,"Mohino-Herranz, I., Gil-Pita, R., García-Gómez, J., Alonso-Diaz, S., Rosa-Zurera, M., & Seoane, F. (2024). Initializing the weights of a multilayer perceptron for activity and emotion recognition. Expert Systems with Applications, 253, 124305.",x,x,-,-,-,-,Video Stimuli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Film clips showing disgust & sadness; neutral baseline,,-,-,-,Tomi,,,
149,1,10.1109/JSEN.2020.3031163,"Woodward, K., & Kanjo, E. (2020). iFidgetCube: tangible fidgeting interfaces (TFIs) to monitor and improve mental wellbeing. IEEE Sensors Journal, 21(13), 14300-14307.",-,-,-,x,x,-,Fidgeting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tangible Fidgeting Interface (cube),Participants freely fidgeted with the instrumented cube during daily life while self-labelling mood,,-,-,-,Tomi,,,
150,1,10.1145/3490686,"Yin, G., Sun, S., Yu, D., Li, D., & Zhang, K. (2022). A multimodal framework for large-scale emotion recognition by fusing music and electrodermal activity signals. ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), 18(3), 1-23.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,-,,,Tomi
150,2,10.1145/3490686,"Yin, G., Sun, S., Yu, D., Li, D., & Zhang, K. (2022). A multimodal framework for large-scale emotion recognition by fusing music and electrodermal activity signals. ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), 18(3), 1-23.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
150,3,10.1145/3490686,"Yin, G., Sun, S., Yu, D., Li, D., & Zhang, K. (2022). A multimodal framework for large-scale emotion recognition by fusing music and electrodermal activity signals. ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), 18(3), 1-23.",-,-,x,-,-,x,Music-listening,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants listened to 20 chorus excerpts of pop songs and provided continuous valence/arousal ratings​​,-,-,-,-,Tomi,,,
151,1,10.3390/s23031608,"Baldassarri, S., García de Quirós, J., Beltrán, J. R., & Álvarez, P. (2023). Wearables and machine learning for improving runners’ motivation from an affective perspective. Sensors, 23(3), 1608.",-,-,x,-,-,x,Music listening playlist,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,Nine songs (two per Russell quadrant) were played with 15-s pauses,The total duration of the playlist is approximately 41 minutes.,-,41 m 00 s,-,Tomi,,,
152,1,10.3389/fnins.2023.1138091,"Li, Z., Xing, Y., Pi, Y., Jiang, M., & Zhang, L. (2023). A novel physiological feature selection method for emotional stress assessment based on emotional state transition. Frontiers in Neuroscience, 17, 1138091.",-,x,-,-,-,x,IAPS,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"120 IAPS images (3 × 40) shown for 6 s each to evoke negative, neutral, and positive emotions",Each picture was presented for 6 s.,-,12 m 00 s,-,Tomi,,,
153,1,10.3390/s21113760,"Alanazi, S.A.; Alruwaili, M.; Ahmad, F.; Alaerjan, A.; Alshammari, N. Estimation of Organizational Competitiveness by a Hybrid of One-Dimensional Convolutional Neural Networks and Self-Organizing Maps Using Physiological Signals for Emotional Analysis of Employees. Sensors 2021, 21, 3760.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,Tomi,,,
